"constraint_name","child_table","child_column","parent_table","parent_column"
"tickets_log_ibfk_3","tickets_log","updated_by","iam_users","user_id"
"tickets_log_ibfk_1","tickets_log","id_ticket","tickets","id_ticket"
"tickets_proyectos_ibfk_2","tickets_proyectos","responsable","iam_users","user_id"
"tickets_proyectos_ibfk_3","tickets_proyectos","created_by","iam_users","user_id"
"tickets_proyectos_ibfk_4","tickets_proyectos","updated_by","iam_users","user_id"
"tickets_proyectos_ibfk_1","tickets_proyectos","centro","tickets_centros","id_tickets_centro"
"tickets_proyectos_participantes_ibfk_2","tickets_proyectos_participantes","id_participante","iam_users","user_id"
"tickets_proyectos_participantes_ibfk_3","tickets_proyectos_participantes","created_by","iam_users","user_id"
"tickets_proyectos_participantes_ibfk_4","tickets_proyectos_participantes","updated_by","iam_users","user_id"
"tickets_proyectos_participantes_ibfk_1","tickets_proyectos_participantes","id_proyecto","tickets_proyectos","id_proyecto"
"tickets_subproyectos_ibfk_2","tickets_subproyectos","sociedad","general_sociedades","rfc"
"tickets_subproyectos_ibfk_3","tickets_subproyectos","responsable","iam_users","user_id"
"tickets_subproyectos_ibfk_4","tickets_subproyectos","created_by","iam_users","user_id"
"tickets_subproyectos_ibfk_5","tickets_subproyectos","updated_by","iam_users","user_id"
"tickets_subproyectos_ibfk_1","tickets_subproyectos","id_proyecto","tickets_proyectos","id_proyecto"
"vivienda_listado_ibfk_2","vivienda_listado","created_by","iam_users","user_id"
"vivienda_listado_ibfk_3","vivienda_listado","updated_by","iam_users","user_id"
"vivienda_listado_ibfk_1","vivienda_listado","id_proyecto","vivienda_proyectos","id_proyecto"
"vivienda_proyectos_ibfk_1","vivienda_proyectos","propietario","general_sociedades","rfc"
"vivienda_proyectos_ibfk_2","vivienda_proyectos","created_by","iam_users","user_id"
"vivienda_proyectos_ibfk_3","vivienda_proyectos","updated_by","iam_users","user_id"
"vivienda_rel_expediente_clientes_ibfk_3","vivienda_rel_expediente_clientes","created_by","iam_users","user_id"
"vivienda_rel_expediente_clientes_ibfk_4","vivienda_rel_expediente_clientes","updated_by","iam_users","user_id"
"vivienda_rel_expediente_clientes_ibfk_2","vivienda_rel_expediente_clientes","id_contraparte","tesoreria_contrapartes","id_contraparte"
"vivienda_rel_expediente_clientes_ibfk_1","vivienda_rel_expediente_clientes","id_expediente","vivienda_ventas_expedientes","id_expediente"
"vivienda_ventas_asesores_ibfk_1","vivienda_ventas_asesores","created_by","iam_users","user_id"
"vivienda_ventas_asesores_ibfk_2","vivienda_ventas_asesores","updated_by","iam_users","user_id"
"vivienda_ventas_expedientes_ibfk_4","vivienda_ventas_expedientes","created_by","iam_users","user_id"
"vivienda_ventas_expedientes_ibfk_5","vivienda_ventas_expedientes","updated_by","iam_users","user_id"
"vivienda_ventas_expedientes_ibfk_3","vivienda_ventas_expedientes","id_contrato","tesoreria_contratos","id_contrato"
"vivienda_ventas_expedientes_ibfk_1","vivienda_ventas_expedientes","id_vivienda","vivienda_listado","id_vivienda"
"vivienda_ventas_expedientes_ibfk_2","vivienda_ventas_expedientes","id_asesor","vivienda_ventas_asesores","id_asesor"
"vivienda_ventas_expedientes_items_ibfk_2","vivienda_ventas_expedientes_items","created_by","iam_users","user_id"
"vivienda_ventas_expedientes_items_ibfk_3","vivienda_ventas_expedientes_items","updated_by","iam_users","user_id"
"vivienda_ventas_expedientes_items_ibfk_1","vivienda_ventas_expedientes_items","id_expediente","vivienda_ventas_expedientes","id_expediente"
